"script.startdate","script.starttime","script.subjectid","script.groupid","script.elapsedtime","values.completed","expressions.m1","expressions.sd1","expressions.m2","expressions.sd2","expressions.d","expressions.latdiff","expressions.percentcorrect"
"060417","16:31:04","455843278","945186093","142724","1","568.7000000000000454747","147.8287640422553295139","589.2428571428571331126","171.7776145523148443317","0.1283879523846248594","20.5428571428570876378","93.5714285714285693984"
"060417","16:26:13","453917922","912251804","154014","1","579.3571428571428896248","176.9916100291306690906","620.7571428571428668874","219.4624153695442316803","0.2072838387264246962","41.3999999999999772626","98.5714285714285836093"
"060417","21:19:54","576824149","462563064","191621","1","947.8714285714286233997","460.3778196796648103373","793.9142857142857110375","277.5407395533154044642","-0.3982902025576318117","-153.9571428571429123622","94.2857142857142775938"
"060417","13:12:13","162872485","160297430","252654","1","1435.1142857142856428254","1633.4796551689685202291","1410.7999999999999545253","1339.7983689963268716383","-0.0163343173983993492","-24.3142857142856883002","95"
"060517","04:08:02","441229036","735441873","178831","1","707.0142857142857337749","177.6141798799013429289","795.3714285714286233997","280.6306650855093494101","0.3710022882675372835","88.3571428571428896248","99.2857142857142918047"
"060417","13:05:08","891714010","10404180","97786","1","188.0999999999999943157","117.504134987371543275","514.2999999999999545253","391.7865934186731919908","0.9842319512645628654","326.1999999999999317879","62.1428571428571459023"
"060417","21:02:45","347074539","629660402","141314","1","592.5285714285714675498","184.2537413482509407459","567.9571428571429123622","174.7982220347250290615","-0.1369909492218217006","-24.5714285714285729512","90"
"060417","20:59:02","728533097","425743518","170284","1","724.0142857142857337749","181.8383971869291428902","767.2000000000000454747","211.3190869792387331927","0.2185378831374577557","43.1857142857143116998","97.8571428571428469922"
"060417","15:57:59","647995710","337976538","148741","1","548.1571428571428441501","85.5118664049980452546","583.2428571428571331126","131.3592745344278398534","0.3137488756820700497","35.0857142857142889625","96.4285714285714306016"
"060417","20:57:10","133849929","535351414","137153","1","546.3714285714286233997","154.2251479924461818882","506.2571428571428668874","149.415254999283916959","-0.2628285808886633435","-40.1142857142857138797","97.8571428571428612031"
"060417","14:54:28","498755454","270797721","204015","1","659.9142857142857110375","176.0770370643670048594","615.7000000000000454747","213.3241630728328175337","-0.2254183071334824873","-44.2142857142856655628","98.5714285714285836093"
"060417","21:01:28","493095005","324572874","154664","1","661.9857142857142662251","219.0867403403516675553","589.0142857142857337749","224.3305979670739702669","-0.3258539245469976864","-72.9714285714285324502","95.7142857142857224062"
"060417","20:52:46","380309630","132075648","180077","1","798.3428571428571558499","288.9513215968876238549","771.1142857142857565123","200.7622101152303457638","-0.1096709672501090665","-27.2285714285713993377","96.4285714285714306016"
"060417","14:51:10","627215132","495735348","172071","1","806.8999999999999772626","360.5027146172090510845","810.8428571428571558499","380.872059454192310568","0.010670898902417042","3.9428571428571785873","94.2857142857142775938"
"060417","15:48:36","205768215","400780855","143221","1","597.3428571428571558499","220.0808076701871129899","613","208.7395575796564912707","0.0732132776601610719","15.6571428571428441501","95"
"060417","15:47:33","791044348","780160822","139144","1","574.0142857142857337749","152.873395838777184963","558.8428571428571558499","140.1512263684766139704","-0.1036866029823813457","-15.171428571428577925","96.4285714285714306016"
"060417","20:45:21","810152956","880548285","126825","1","685.8857142857142434877","299.4822848239866743825","353.8000000000000113687","352.0733866187806029302","-0.9077897225839089979","-332.0857142857142321191","75.7142857142857081953"
"060417","20:41:06","181428494","785399514","192630","1","728.7714285714286006623","241.5877535184750115604","808.2857142857143344372","449.7706385805907984832","0.2197034304411761008","79.5142857142857337749","97.1428571428571387969"
"060417","20:39:59","948795071","936534540","147468","1","616.3142857142856883002","222.5606930969646271024","615.828571428571422075","235.9112441446394541344","-0.002125600636931312","-0.4857142857142662251","95.7142857142857224062"
"060417","20:38:25","154616245","872755866","197619","1","831.8714285714286233997","370.6099915524529819777","742.328571428571422075","243.8615502566606494383","-0.2835551757582720489","-89.5428571428572013247","98.5714285714285836093"
"060417","20:38:22","962655617","25672302","194445","1","765.9285714285714448124","242.5702540653941809978","789.7142857142856655628","351.629751872130952961","0.0789670033450952796","23.7857142857142207504","97.8571428571428469922"
"060417","20:30:22","769080369","868205906","192012","1","742.1571428571428441501","398.0318840813405358858","800.6142857142857565123","325.6106100208928637585","0.1608157664154006017","58.4571428571429123622","97.1428571428571387969"
"060417","15:35:34","887228097","505846479","135064","1","595.1428571428571103752","179.3975655978727559159","578.5571428571428214127","182.5915403309095381701","-0.0918666093895489921","-16.5857142857142889625","96.4285714285714306016"
"060417","20:34:52","604371446","146626409","156987","1","645.6142857142857565123","233.0892279766649437533","623.7857142857143344372","167.0140055618994949782","-0.1078874189508809006","-21.828571428571422075","96.4285714285714306016"
"060417","12:34:19","664616672","698713139","160842","1","530.8857142857142434877","99.0115705223814899227","575.7714285714286006623","186.8262132422838419643","0.2979159633042039457","44.8857142857143571746","97.8571428571428469922"
"060417","14:34:11","265367309","575567236","152698","1","715.328571428571422075","299.9257744615081264783","645.6142857142857565123","204.1650577534102524169","-0.270198920226796202","-69.7142857142856655628","92.8571428571428612031"
"060417","15:34:05","182044162","5027230","163192","1","622.6285714285713766003","234.3063875138997218528","734.3999999999999772626","408.3383933433897823306","0.3322526422898342546","111.7714285714286006623","85.7142857142857081953"
"060417","14:33:36","930327382","52706880","159254","1","659.828571428571422075","376.5132933130088872531","620.2428571428571331126","202.3890238556075189535","-0.1311539811952839307","-39.5857142857142889625","92.1428571428571387969"
"060417","20:33:47","284566866","30300769","138152","1","539.3428571428571558499","153.8142005198917843245","591.6571428571428441501","214.8019570333139540708","0.2782935074574583445","52.3142857142856883002","97.8571428571428469922"
"060417","12:33:32","256123597","920241848","141494","1","603.0571428571428214127","220.7743871482921065308","565.8857142857142434877","113.5524577564304138377","-0.2113106496332799733","-37.171428571428577925","97.1428571428571387969"
"060417","20:33:10","677591777","298554245","142196","1","530.5142857142857337749","104.4597894840286329554","515.3428571428571558499","126.2122534433746636751","-0.1311488277239470923","-15.171428571428577925","95"
"060417","20:31:27","979890932","839245560","233656","1","809.7571428571428668874","369.3195637461295746107","982.0571428571428214127","573.6307928820098140932","0.3527912638929421307","172.2999999999999545253","97.8571428571428469922"
"060417","15:32:09","455114621","107177352","161384","1","716.8999999999999772626","180.6979343497344245861","648.1000000000000227374","163.1140038772560956204","-0.3932540995244664939","-68.7999999999999545253","97.8571428571428469922"
"060417","20:31:35","641195027","722134783","167388","1","713.0714285714285551876","319.0912513812851898365","801.2285714285713993377","343.2157462110458254756","0.2646335075428995487","88.1571428571428441501","98.5714285714285836093"
"060417","20:30:58","311564819","304221558","161831","1","646.1142857142857565123","195.6645712198346700461","700.9428571428571785873","263.1271740638903224863","0.2356601240438999101","54.828571428571422075","95.7142857142857224062"
"060417","20:31:17","776510904","484006725","138699","1","537.1142857142857565123","191.4549587820486635792","599.9142857142857110375","305.1022989694422449247","0.2455720117942616354","62.7999999999999545253","91.4285714285714306016"
"060417","12:30:38","268205895","348493498","156648","1","557.4857142857142662251","112.170514978945490725","640.828571428571422075","148.3766233617965895064","0.6058539994858586075","83.3428571428571558499","93.5714285714285693984"
"060417","15:29:32","837274324","840495957","163971","1","676.0571428571428214127","252.6163319742495616538","711.5","260.8542127124940179783","0.1382000943348606625","35.4428571428571785873","77.8571428571428612031"
"060417","20:29:51","517718713","385569976","139283","1","587.1428571428571103752","118.7209962400931573256","597.3857142857142434877","119.0970001517024314808","0.0863705013104420216","10.2428571428571331126","97.8571428571428469922"
"060417","20:29:32","867396607","847291595","156731","1","737.9285714285714448124","295.3798989083194328487","678.6285714285713766003","148.6042474502277741522","-0.2524926797335000361","-59.3000000000000682121","100"
"060417","20:28:43","480282262","378134443","195689","1","1013.2142857142856655628","673.6237691780602290237","908.1142857142857565123","599.0923217150159416633","-0.1649049288024538595","-105.0999999999999090505","95.7142857142857224062"
"060417","20:30:38","375844458","482572247","172271","1","850.9142857142857110375","478.6890837729595205019","734.2428571428571331126","222.8037698868140807917","-0.3098134185332871438","-116.671428571428577925","98.5714285714285836093"
"060417","20:28:48","590321421","286134369","168287","1","805.1571428571428441501","242.6172291404227223666","739.0571428571428214127","151.6631360360787255104","-0.3235453338565772996","-66.1000000000000227374","95.7142857142857224062"
"060417","15:28:04","755042910","859162083","190813","1","843.6811594202898731965","871.7791560055188710976","881.171428571428577925","690.3908569815555438254","0.0478772899602713103","37.4902691511387047285","94.2857142857142775938"
"060417","20:27:27","174681585","306377556","204028","1","932.5428571428570876378","357.3876102129836453969","874.7000000000000454747","431.8632482828230081395","-0.1460622227937429796","-57.8428571428570421631","99.2857142857142918047"
"060417","15:28:23","904483451","772373814","122531","1","504.6999999999999886313","123.7633728684221949834","525.9714285714285324502","128.8641540007749881624","0.1683719413303022272","21.2714285714285438189","93.5714285714285693984"
"060417","20:27:41","198956067","871757282","137666","1","534.2285714285713993377","196.0573098281726061032","614.171428571428577925","371.091846571886435413","0.2678947301354367982","79.9428571428571785873","97.1428571428571387969"
"060417","20:27:13","689704003","328183299","150863","1","636.5142857142857337749","718.8166955642767561585","609.6428571428571103752","302.8660695879624427107","-0.048880911556410854","-26.8714285714286233997","94.2857142857142775938"
"060417","20:27:07","705011027","204775815","156354","1","580.5714285714285551876","110.186610016440539539","584.3428571428571558499","100.3565940171992565411","0.03591031035117008","3.7714285714286006623","99.2857142857142918047"
"060417","20:27:36","925039195","267939999","127178","1","477.6571428571428441501","112.6191331485850355421","498.3714285714285665563","129.4275211452869314144","0.1707356995929398824","20.7142857142857224062","95"
"060417","14:27:14","63537318","564915198","138515","1","660.1857142857143116998","236.010089004265296353","545.3857142857142434877","140.9601951068275980106","-0.5681226625566895283","-114.8000000000000682121","98.5714285714285836093"
"060417","20:26:44","537108713","563938321","158191","1","629.6142857142857565123","234.1701532273611690016","714.2142857142856655628","369.9856202790192014618","0.2716692208182301949","84.5999999999999090505","83.5714285714285693984"
"060417","20:32:57","613029052","254526889","231092","1","985.6376811594202536071","1037.6320181209898692032","1018.1428571428571103752","664.3904754989699767975","0.0374959801575034252","32.5051759834368496627","96.4285714285714306016"
"060417","12:25:45","389506996","483342603","200278","1","891.4285714285714448124","322.2343899561208218074","1039.4857142857142662251","713.0858180127632977019","0.2661416866924965485","148.0571428571428214127","94.2857142857142775938"
"060417","12:26:19","426569000","811859800","134170","1","525.5142857142857337749","97.5478690155882333102","536.3857142857142434877","130.1375295775776521623","0.0947662829873044538","10.8714285714285097129","92.1428571428571387969"
"060417","20:24:46","436888456","919374337","219615","1","1109.2714285714284869755","921.7859307184035060345","1071.6857142857143116998","764.0584722835832280907","-0.0445453249561953285","-37.5857142857142889625","95"
"060417","20:25:28","479141539","620414856","155355","1","584.1428571428571103752","120.5793124893906735906","662.5857142857142889625","180.6841661820501201419","0.4963870677928597375","78.4428571428571785873","87.1428571428571387969"
"060417","20:24:24","502702267","522265016","202842","1","537.2999999999999545253","126.213914343518567307","589.9428571428571785873","256.1957972770885589853","0.2593920394805468987","52.6428571428571459023","96.4285714285714306016"
"060417","20:25:36","343989429","864018913","154830","1","681.1428571428571103752","220.1286373401373737124","715.4142857142857110375","179.0947844632729015757","0.170777816684232614","34.2714285714286006623","100"
"060417","20:25:26","453635385","145257749","162007","1","680.6142857142857565123","275.2950613568164612843","629.9571428571429123622","222.4919758015245747629","-0.2020788670601357251","-50.6571428571428441501","97.8571428571428469922"
"060417","13:24:58","934992350","469570529","116908","1","503.5571428571428782561","159.1931317900044007274","455.6142857142856996688","124.9740022654153221993","-0.3315333141271880057","-47.9428571428571785873","91.4285714285714306016"
"060417","20:24:17","178711551","666450096","154990","1","732.7000000000000454747","312.1925432453039093161","596.328571428571422075","118.590480521808203207","-0.5565230351065161285","-136.3714285714286233997","93.5714285714285693984"
"060417","20:24:43","203701544","858952335","126958","1","557.7142857142856655628","139.864752773252547513","562.328571428571422075","172.3556082452260227456","0.0295022140671204088","4.6142857142857565123","98.5714285714285836093"
"060417","20:24:01","814046299","837672870","156613","1","683.9857142857142662251","296.9700854918197023835","733.6142857142857565123","376.5466382899379027549","0.1464854422134375667","49.6285714285714902871","96.4285714285714306016"
"060417","20:23:18","168185587","459678011","188331","1","601.2285714285713993377","119.2030506647573560031","645.3857142857142434877","291.4778582018645352036","0.1980347968398581404","44.1571428571428441501","94.2857142857142775938"
"060417","20:23:28","595534358","54145913","163556","1","621.5857142857142889625","356.2738522035754726858","621.4857142857142662251","296.1894097695380878577","-0.00030634307816868","-0.0999999999999999778","97.8571428571428612031"
"060417","20:23:37","325123416","334251702","133828","1","507.2428571428571331126","94.9410855786306058235","583.6142857142857565123","171.2647998773204847112","0.5333566218061052133","76.3714285714285665563","85.7142857142857081953"
"060417","15:22:57","441839737","111883285","159479","1","609.5571428571428214127","111.1683193994371521285","616.8857142857142434877","156.7922601292517867932","0.0540979337586980427","7.328571428571422075","100"
"060417","20:22:20","802914543","469494194","185887","1","585.6857142857143116998","157.5315512779363871232","621.4714285714285324502","184.6525700758340917673","0.2081165575195466355","35.7857142857142207504","86.4285714285714306016"
"060417","20:22:55","224946265","855189774","154143","1","585.0285714285714675498","176.7059271192932214944","566.3999999999999772626","135.2494635527417301546","-0.1186077111960199965","-18.6285714285714902871","98.5714285714285836093"
"060417","15:22:16","582580255","139447136","151439","1","722.3714285714286233997","342.587518551821631263","714.0285714285714675498","291.2542577372963705784","-0.026331419575488145","-8.3428571428571558499","86.4285714285714306016"
"060417","20:22:12","627691626","133317836","148346","1","611.328571428571422075","153.983786218612834773","580.2999999999999545253","129.5260423705362597957","-0.2175594347955455143","-31.0285714285714675498","92.1428571428571387969"
"060417","20:21:45","346250836","222526036","170899","1","657.9571428571429123622","153.7415896805918862356","685.8142857142856883002","298.0613346498511191385","0.1176871040549489628","27.857142857142775938","99.2857142857142918047"
"060417","15:21:46","505304615","93588520","168493","1","978.3428571428571558499","962.8609225156353659258","614.1857142857143116998","182.8932763050580945219","-0.5098163198106510086","-364.1571428571428441501","93.5714285714285693984"
"060417","15:21:45","697604995","731217004","146095","1","693.0714285714285551876","371.2728330529276945526","682.2000000000000454747","563.6126123602932693757","-0.0228610102929958613","-10.8714285714285097129","85.7142857142857081953"
"060417","15:21:58","855721928","515852736","131512","1","508.2285714285714561811","78.4055180379491645226","526.6285714285713766003","119.4503318561246345553","0.1820113395048528482","18.3999999999999985789","96.4285714285714306016"
"060417","20:21:23","877509404","499366255","160352","1","632.0285714285714675498","70.5728057467819951398","656.9857142857142662251","112.5771224033235995421","0.2642425834881028668","24.9571428571427986753","100"
"060417","20:19:21","384021627","864418781","272599","1","547.8428571428571558499","117.9027646188242925973","570.4142857142857110375","172.828766128952992176","0.1526761342936647503","22.5714285714285551876","98.5714285714285836093"
"060417","20:21:24","995653998","581739212","146964","1","543.2857142857143344372","114.6503370817575557794","676.3571428571428896248","267.6548196548532700945","0.6168004652925145326","133.0714285714285551876","95.7142857142857224062"
"060417","14:19:54","511794391","86509825","188696","1","1032.5571428571429350995","1384.978141780262831162","940.2285714285713993377","1294.7149445254888178169","-0.069078294315040617","-92.3285714285715357619","100"
"060417","15:20:56","639261157","327566851","127325","1","505.4285714285714448124","123.4883754933538710929","519.7285714285713993377","115.3346638226732636667","0.1198994644311447699","14.2999999999999545253","97.1428571428571387969"
"060417","20:20:46","479262982","88304016","158122","1","552.1428571428571103752","97.2269548291093030912","640.8999999999999772626","287.8472395791444000679","0.4059396671129922307","88.7571428571428668874","99.2857142857142918047"
"060417","20:19:28","210594139","740219603","190806","1","736.9428571428571785873","186.7241541173740131399","754.8714285714286233997","280.8213069163725208455","0.0754026447076947687","17.9285714285714448124","95.7142857142857224062"
"060417","20:19:37","525901279","35477679","166157","1","623.8857142857142434877","104.8097714850948278809","698.7714285714286006623","185.6054855689668272589","0.4837293570257058528","74.8857142857143571746","100"
"060417","15:19:46","465932169","87790853","155883","1","617.5571428571428214127","170.9260909616453432136","637.5142857142857337749","166.4863438589223960662","0.1185027291132226962","19.9571428571429123622","96.4285714285714306016"
"060417","20:19:49","917032107","922135670","141925","1","617.7000000000000454747","119.4323955275505397822","609.671428571428577925","185.2258098136380510823","-0.0516867109854572751","-8.0285714285714284699","99.2857142857142918047"
"060417","14:19:48","467840940","93538017","140566","1","536.3428571428571558499","162.6905024453526777961","691.4714285714285324502","388.7322658773794046283","0.5054061343577164189","155.1285714285713766003","92.1428571428571387969"
"060417","20:19:04","157097151","525359250","165912","1","672.3571428571428896248","239.2735403720043905196","641.7714285714286006623","206.3149535089685855382","-0.1370780391901539608","-30.5857142857142854098","92.8571428571428612031"
"060417","20:19:40","727211900","139170164","124029","1","525.0714285714285551876","158.7254782091148683776","526.0714285714285551876","164.8529710693542824629","0.006202093449576263","1","91.4285714285714306016"
"060417","15:19:10","723727534","142934024","144249","1","556.9571428571429123622","100.7643880781392624613","633.9714285714285324502","199.0646221947130811714","0.4757550353615360716","77.014285714285620088","97.1428571428571387969"
"060417","20:19:04","692061908","166943715","150886","1","637.8857142857142434877","202.0222790739577192198","616.7285714285713993377","234.5469837317030510349","-0.096891546459423758","-21.1571428571428441501","96.4285714285714306016"
"060417","20:19:10","936709686","522832167","141672","1","531.9571428571429123622","129.9180829660499796319","660.2571428571428668874","329.4888745109627734564","0.4978465334597560465","128.2999999999999545253","92.1428571428571387969"
"060417","20:18:30","881765166","632975772","155108","1","533.2714285714286006623","127.2416303934209906856","570.6000000000000227374","173.1475369885963857541","0.2447050213894731152","37.328571428571422075","95.7142857142857224062"
"060417","15:18:01","830086199","124280417","152625","1","632.6428571428571103752","365.2419105320606149689","583.2428571428571331126","219.6815505314279732829","-0.1639470263237762238","-49.3999999999999772626","92.1428571428571387969"
"060417","15:17:32","201457349","847352554","166638","1","753.9571428571429123622","414.2493975300835131748","711.0857142857142889625","181.3487106803476649475","-0.1342539600271724087","-42.8714285714286233997","100"
"060417","14:17:02","67252295","690118983","193826","1","524.8999999999999772626","128.7540234350938703756","504.671428571428577925","88.8877685833472952481","-0.18273467941283425","-20.2285714285713993377","100"
"060417","20:17:33","731323152","233334566","142707","1","568.7714285714286006623","144.4809973392089545996","584.1000000000000227374","150.4959097137849539649","0.1041423622664388177","15.3285714285714291805","91.4285714285714306016"
"060417","20:17:35","975540768","470359856","130574","1","561.5857142857142889625","153.6488083738360899133","551.2714285714286006623","182.7176424240473977534","-0.061291903451575265","-10.3142857142856883002","88.5714285714285693984"
"060417","13:17:14","956506538","113617894","147198","1","604.5714285714285551876","194.8255683179017694329","694.8142857142856883002","251.8708717276468860291","0.3942886084943319491","90.2428571428571331126","84.2857142857142918047"
"060417","15:16:57","470524118","97042880","135943","1","601.7285714285713993377","123.9409538506457408857","619.7000000000000454747","262.7503554238552396782","0.087715315487845627","17.9714285714286461371","95"
"060417","21:16:20","120598492","636772786","128692","1","487.5857142857142889625","138.0659885136994660115","544.6000000000000227374","187.3743366338770215407","0.3425080128216201336","57.0142857142857337749","80"
"060417","20:15:52","791693979","478246340","146450","1","527.0714285714285551876","77.0607367136932026597","536.8714285714286233997","127.7823014472152891585","0.0931122225565570588","9.8000000000000007105","96.4285714285714306016"
"060417","20:15:31","193072512","855737391","134453","1","539.0714285714285551876","102.809140944265067219","535.671428571428577925","113.5279728574328430568","-0.0315035173604425942","-3.3999999999999772626","97.8571428571428469922"
"060417","15:14:44","721828208","685493879","151557","1","680.5714285714285551876","267.3923227101078623491","608.3714285714286233997","144.1584445769900639789","-0.3326066135038119875","-72.1999999999999317879","99.2857142857142918047"
"060417","15:14:51","525584548","41982450","129905","1","534.8428571428571558499","204.9049716624959387445","571.2285714285713993377","281.2638233087886305839","0.14799568886551559","36.3857142857142434877","80"
"060417","12:13:38","868195884","12713185","170040","1","655.5571428571428214127","241.2644610497608255173","633.8428571428571558499","294.2729993333502420683","-0.0809241328337169802","-21.7142857142856655628","90"
"060417","19:06:04","404567924","413099954","181305","1","673.7285714285713993377","248.4695135662375093943","685.2999999999999545253","166.8025257863193928642","0.054858980965651491","11.5714285714285551876","98.5714285714285836093"
"060417","19:01:20","816327807","272053086","125975","1","494.9714285714285892936","184.0589832547441346833","518.7428571428571331126","205.1367649631447989123","0.1221887461156450499","23.7714285714285438189","68.5714285714285693984"
"060417","10:35:09","730529271","232950611","138302","1","584.7142857142856655628","255.8533401717060087321","549.9428571428571785873","196.0819767722337587657","-0.1526513972120941698","-34.7714285714284869755","86.4285714285714306016"
